Mの美魔女上司にハイヒールで踏みつけられたくないですか? ,notzatsudan
消費税値上げっていつからだっけ？,zatsudan
うざい。,zatsudan
通勤電車って死ぬほど辛くないかなぁ、俺はそう思うなぁ ,zatsudan
Androidってどういう意味ですか？   ,notzatsudan
最近ストレスやばいわー   ,zatsudan
コーヒーが飲みたい。    ,zatsudan
東野圭吾の新作タイトル教えて,notzatsudan
高円寺で一番人気のラーメン屋は？      ,notzatsudan
満員電車って嫌だよね    ,zatsudan
無人島に行くとしたらなにをもっていく？   ,zatsudan
たのしいなぁ,zatsudan
タバコ吸う人いますか？   ,notzatsudan
先週はサンフランシスコにいました。     ,zatsudan
チョーむかつく。      ,zatsudan
この会社男ばっかだよね   ,zatsudan
映画で好きなのは何ですか? ,notzatsudan
サブカルって知ってますか? ,notzatsudan
大阪名物といえば？     ,zatsudan
ついつい夜更かししちゃうんだよね      ,zatsudan
映画館って眠くなるよね？  ,zatsudan
ゲームをやっていて夜が白じんでくると退廃的でなにかよいなぁ ,zatsudan
ひまだなあ。,zatsudan
生産性アップとかコストダウンなんてくそくらえだよね     ,zatsudan
いつにする？,zatsudan
それな！  ,zatsudan
千葉県の特産物ってなに？  ,notzatsudan
気温は何度ですか？     ,notzatsudan
おーい   ,zatsudan
小説読んだら頭よくなるんじゃ,zatsudan
むかちゃっかふぁいやー   ,zatsudan
日本死ね  ,zatsudan
愛してる  ,zatsudan
おいキタロウ,zatsudan
明日天気良ければいいねー  ,zatsudan
天気のいい日はバーベキューでしょ。     ,zatsudan
梅雨の時期には雨が降らないと、水不足になる。,zatsudan
温暖化の影響で日本は暑くなっている。    ,zatsudan
天気がいい日はハイキングでしょ。      ,zatsudan
天気がいい日はウォーキングよね。      ,zatsudan
雨の時は家にいます。    ,zatsudan
雨の日には映画を見ます。  ,zatsudan
いけピカチュウ！１０まんボルトだ！     ,zatsudan
gpuのあるパソコン欲しいな,zatsudan
自分を知るためには、自分と話せばいい。   ,zatsudan
CS初戦　藤波先発が全てよ ,zatsudan
データを増やす必要がある  ,zatsudan
データを増やすのは非常に大変だ。      ,zatsudan
誰かにデータを作るお手伝いをお願いするべきだ,zatsudan
明日は晴れに違いない。   ,zatsudan
