0 明日天気良ければいいねー
0 天気のいい日はバーベキューでしょ。
0 梅雨の時期には雨が降らないと、水不足になる。
0 温暖化の影響で日本は暑くなっている。
0 天気がいい日はハイキングでしょ。
0 天気がいい日はウォーキングよね。
0 雨の時は家にいます。
0 雨の日には映画を見ます。
1 明日の天気は何ですか？
1 天気がいい日には何をしたいですか？
1 日本では天気がいい日に何をしますか？
1 どの天気が一番好きですか？
1 雨の時にはどこに遊びに行きますか？
0 いけピカチュウ！１０まんボルトだ！
1 １０まんボルトって人間耐えられるの？
0 gpuのあるパソコン欲しいな。
1 gpuのあるパソコンでオススメのある？
0 自分を知るためには、自分と話せばいい。
0 CS初戦　藤波先発が全てよ
0 データを増やす必要がある
0 データを増やすのは非常に大変だ。
0 誰かにデータを作るお手伝いをお願いするべきだ。
0 明日は晴れに違いない。
0 晴れの日は洗濯をするべきだ。
0 たまには家族サービスをしないと嫁に怒られる。
1 天気のいい日は何をしたいですか？
1 ピカチューは好きですか？
1 ピカチューは黄色ですか？
1 ピカチューを持っていますか？
1 明日の天気は何ですか。
1 明日の天気を知っている人はいますか。
1 好きな料理はなんですか。
0 好きな料理はドリアです。
0 上野で美味しいお店は少ないです。
1 上野でおいしいお店を知っていますか。
1 どのジャンルの音楽が好きですか。
1 雨の日は何をしますか。
1 雨の日にどのテレビを見ますか。
1 機械学習用のパソコンを購入してはどうですか。
1 データをクローリングいますか？
1 りんなを使っていますか？
1 チャットボットを作りたいですか？
1 チャットボットはどうやって作りますか？
